name,city,state,url,website,buy_link,phone,email,type,notes,source,source_url,prices
Bailey Knit Corp.,Fort Payne,AL,https://textileconnect.com/directory/bailey-knit-corp/,https://textileconnect.com/directory/bailey-knit-corp/,https://textileconnect.com/directory/bailey-knit-corp/,,,manufacturer,Textile Connect: apparel-and-product-manufacturing,Textile Connect,https://textileconnect.com/directory/,Contact for quote
Bailly Industrial,"Niteroi RJ, Brazil",,https://textileconnect.com/directory/bailly-industrial/,https://textileconnect.com/directory/bailly-industrial/,https://textileconnect.com/directory/bailly-industrial/,,,manufacturer,Textile Connect: apparel-and-product-manufacturing,Textile Connect,https://textileconnect.com/directory/,Contact for quote
"Bainbridge International, Inc.",Canton,MA,https://textileconnect.com/directory/bainbridge-international-inc/,https://textileconnect.com/directory/bainbridge-international-inc/,https://textileconnect.com/directory/bainbridge-international-inc/,,,manufacturer,Textile Connect: apparel-and-product-manufacturing,Textile Connect,https://textileconnect.com/directory/,Contact for quote
BakerCorp,Augusta,GA,https://textileconnect.com/directory/bakercorp/,https://textileconnect.com/directory/bakercorp/,https://textileconnect.com/directory/bakercorp/,,,manufacturer,Textile Connect: apparel-and-product-manufacturing,Textile Connect,https://textileconnect.com/directory/,Contact for quote
Baker Furniture Co,High Point,NC,https://textileconnect.com/directory/baker-furniture-co/,https://textileconnect.com/directory/baker-furniture-co/,https://textileconnect.com/directory/baker-furniture-co/,,,manufacturer,Textile Connect: apparel-and-product-manufacturing,Textile Connect,https://textileconnect.com/directory/,Contact for quote
"Bali, L.L.C.",Winston Salem,NC,https://textileconnect.com/directory/bali-l-l-c/,https://textileconnect.com/directory/bali-l-l-c/,https://textileconnect.com/directory/bali-l-l-c/,,,manufacturer,Textile Connect: apparel-and-product-manufacturing,Textile Connect,https://textileconnect.com/directory/,Contact for quote
Bali Co,Winston Salem,NC,https://textileconnect.com/directory/bali-co/,https://textileconnect.com/directory/bali-co/,https://textileconnect.com/directory/bali-co/,,,manufacturer,Textile Connect: apparel-and-product-manufacturing,Textile Connect,https://textileconnect.com/directory/,Contact for quote
Bally Ribbon Mills,Bally,PA,https://textileconnect.com/directory/bally-ribbon-mills/,https://textileconnect.com/directory/bally-ribbon-mills/,https://textileconnect.com/directory/bally-ribbon-mills/,,,manufacturer,Textile Connect: apparel-and-product-manufacturing,Textile Connect,https://textileconnect.com/directory/,Contact for quote
Bamberger Polymers,Huntersville,NC,https://textileconnect.com/directory/bamberger-polymers/,https://textileconnect.com/directory/bamberger-polymers/,https://textileconnect.com/directory/bamberger-polymers/,,,manufacturer,Textile Connect: apparel-and-product-manufacturing,Textile Connect,https://textileconnect.com/directory/,Contact for quote
Bamco Belting Products,Greenville,SC,https://textileconnect.com/directory/bamco-belting-products/,https://textileconnect.com/directory/bamco-belting-products/,https://textileconnect.com/directory/bamco-belting-products/,,,manufacturer,Textile Connect: apparel-and-product-manufacturing,Textile Connect,https://textileconnect.com/directory/,Contact for quote
